timestamp,open (CNY),high (CNY),low (CNY),close (CNY),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2020-11-14,107818.34426000,107864.25943500,107112.57186500,107574.10195500,16320.04000000,16326.99000000,16213.21000000,16283.07000000,2810.73111600,2810.73111600
2020-11-13,107632.10702500,108875.12000000,105389.20027500,107822.70455000,16291.85000000,16480.00000000,15952.35000000,16320.70000000,75691.88101400,75691.88101400
2020-11-12,103617.99762500,107954.83455000,102008.58816000,107632.17309000,15684.25000000,16340.70000000,15440.64000000,16291.86000000,102196.35659200,102196.35659200
2020-11-11,101061.01786500,105472.77250000,100898.96042000,103617.93156000,15297.21000000,15965.00000000,15272.68000000,15684.24000000,78469.74645800,78469.74645800
2020-11-10,101267.14066500,102136.49000000,99576.20699000,101061.01786500,15328.41000000,15460.00000000,15072.46000000,15297.21000000,61681.91960600,61681.91960600
2020-11-09,102236.24815000,104646.96000000,97812.80001000,101267.14066500,15475.10000000,15840.00000000,14805.54000000,15328.41000000,108976.33413400,108976.33413400
2020-11-08,97897.09895000,103391.72500000,97141.18322000,102236.24815000,14818.30000000,15650.00000000,14703.88000000,15475.10000000,65547.17857400,65547.17857400
2020-11-07,102928.80754500,104075.62988000,94765.08943000,97897.09895000,15579.93000000,15753.52000000,14344.22000000,14818.30000000,101431.20655300,101431.20655300
2020-11-06,102995.46713000,105439.74000000,100194.17900000,102928.74148000,15590.02000000,15960.00000000,15166.00000000,15579.92000000,122618.19769500,122618.19769500
2020-11-05,93442.40206500,104052.37500000,93109.10414000,102995.46713000,14144.01000000,15750.00000000,14093.56000000,15590.02000000,143741.52267300,143741.52267300
2020-11-04,92646.45094500,94202.08350000,89352.91250000,93442.40206500,14023.53000000,14259.00000000,13525.00000000,14144.01000000,93016.98826200,93016.98826200
2020-11-03,89515.63059500,92927.75571500,87767.28643500,92646.45094500,13549.63000000,14066.11000000,13284.99000000,14023.53000000,74115.63078700,74115.63078700
2020-11-02,90915.28368500,91367.89500000,87173.09782500,89513.91290500,13761.49000000,13830.00000000,13195.05000000,13549.37000000,64566.42190800,64566.42190800
2020-11-01,91110.24150000,91797.31750000,89868.21950000,90915.34975000,13791.00000000,13895.00000000,13603.00000000,13761.50000000,36285.64852600,36285.64852600
2020-10-31,89584.80065000,93151.65000000,88603.07475000,91110.24150000,13560.10000000,14100.00000000,13411.50000000,13791.00000000,67339.23851500,67339.23851500
2020-10-30,88895.01598500,90310.72287000,86644.24750000,89584.80065000,13455.69000000,13669.98000000,13115.00000000,13560.10000000,70657.77888100,70657.77888100
2020-10-29,87644.47160000,90131.88491500,85361.06700500,88895.08205000,13266.40000000,13642.91000000,12920.77000000,13455.70000000,74872.60213200,74872.60213200
2020-10-28,90087.29104000,91562.65462000,85144.57200000,87644.47160000,13636.16000000,13859.48000000,12888.00000000,13266.40000000,94440.56122600,94440.56122600
