Date, Close/Last, Volume, Open, High, Low
11/13/2020,$89.72 ,1096991,$88.97 ,$90.05 ,$88.54 
11/12/2020,$87.11 ,1217346,$87.47 ,$88.14 ,$86.86 
11/11/2020,$88.09 ,1347375,$86.48 ,$88.69 ,$86.26 
11/10/2020,$85.91 ,1300111,$86.05 ,$86.44 ,$85.28 
11/9/2020,$86.61 ,1884867,$90 ,$90 ,$86.60 
11/6/2020,$89.39 ,1394508,$89.10 ,$90.17 ,$88.66 
11/5/2020,$90.39 ,1823315,$88.75 ,$90.88 ,$88.72 
11/4/2020,$86.41 ,1039238,$85.38 ,$87.27 ,$85.17 
11/3/2020,$86.41 ,1059441,$86 ,$87.25 ,$86 
11/2/2020,$85.50 ,2077877,$84.12 ,$85.92 ,$84.04 
10/30/2020,$83.66 ,1479391,$83.25 ,$84.05 ,$82.58 
10/29/2020,$83.43 ,1845071,$83.76 ,$83.88 ,$82.56 
10/28/2020,$81.60 ,2727411,$81.90 ,$81.95 ,$79.11 
10/27/2020,$77.47 ,1467297,$77.30 ,$78.29 ,$76.95 
10/26/2020,$76.20 ,842902,$75.75 ,$76.43 ,$75.55 
10/23/2020,$75.43 ,751254,$75.19 ,$75.57 ,$74.51 
10/22/2020,$74.60 ,663770,$74.88 ,$74.97 ,$74.21 
10/21/2020,$74.64 ,873202,$75.33 ,$75.43 ,$74.40 
10/20/2020,$75.57 ,1217963,$74.63 ,$75.87 ,$74.58 
10/19/2020,$72.93 ,822150,$73.70 ,$73.86 ,$72.81 
10/16/2020,$72.67 ,1062983,$72.76 ,$73.04 ,$72.45 
10/15/2020,$73.27 ,1129476,$73.60 ,$73.60 ,$72.58 
10/14/2020,$74.41 ,942895,$74.61 ,$74.90 ,$74.27 
